Time,Channel A
(ms),(mV)

-105.17516220,137.62320000
-105.15468220,128.92540000
-105.13420220,120.22770000
-105.11372220,115.87880000
-105.09324220,111.52990000
-105.07276220,107.18100000
-105.05228220,111.52990000
-105.03180220,111.52990000
-105.01132220,120.22770000
-104.99084220,124.57650000
-104.97036220,133.27430000
-104.94988220,141.95680000
-104.92940221,150.65460000
-104.90892221,159.35240000
-104.88844221,168.05020000
-104.86796221,172.39900000
-104.84748221,176.74790000
-104.82700221,181.09680000
-104.80652221,181.09680000
-104.78604221,176.74790000
-104.76556221,172.39900000
-104.74508221,172.39900000
-104.72460221,163.70130000
-104.70412221,155.00350000
-104.68364221,146.30570000
-104.66316221,137.62320000
-104.64268221,128.92540000
-104.62220221,120.22770000
-104.60172221,115.87880000
-104.58124221,111.52990000
-104.56076221,111.52990000
-104.54028221,107.18100000
-104.51980221,111.52990000
-104.49932221,115.87880000
-104.47884221,120.22770000
-104.45836221,128.92540000
-104.43788221,137.62320000
-104.41740221,146.30570000
-104.39692221,155.00350000
-104.37644221,159.35240000
-104.35596221,172.39900000
-104.33548221,172.39900000
-104.31500221,181.09680000
-104.29452221,181.09680000
-104.27404221,181.09680000
-104.25356221,181.09680000
-104.23308221,176.74790000
-104.21260221,172.39900000
-104.19212221,163.70130000
-104.17164221,155.00350000
-104.15116221,146.30570000
-104.13068221,137.62320000
-104.11020221,128.92540000
-104.08972221,120.22770000
-104.06924221,115.87880000
-104.04876221,111.52990000
-104.02828221,107.18100000
-104.00780221,107.18100000
-103.98732221,107.18100000
-103.96684221,111.52990000
-103.94636221,115.87880000
-103.92588221,120.22770000
-103.90540221,133.27430000
-103.88492221,137.62320000
-103.86444221,150.65460000
-103.84396221,155.00350000
-103.82348221,163.70130000
-103.80300221,172.39900000
-103.78252221,176.74790000
-103.76204221,181.09680000
-103.74156221,185.44570000
-103.72108221,185.44570000
-103.70060221,181.09680000
-103.68012221,181.09680000
-103.65964221,172.39900000
-103.63916221,168.05020000
-103.61868221,159.35240000
-103.59820221,150.65460000
-103.57772221,146.30570000
-103.55724221,137.62320000
-103.53676221,128.92540000
-103.51628221,120.22770000
-103.49580221,115.87880000
-103.47532221,111.52990000
-103.45484221,107.18100000
-103.43436221,102.83210000
-103.41388221,107.18100000
-103.39340221,111.52990000
-103.37292221,115.87880000
-103.35244221,120.22770000
-103.33196221,124.57650000
-103.31148221,133.27430000
-103.29100221,141.95680000
-103.27052222,150.65460000
-103.25004222,155.00350000
-103.22956222,163.70130000
-103.20908222,172.39900000
-103.18860222,176.74790000
-103.16812222,181.09680000
-103.14764222,185.44570000
-103.12716222,185.44570000
-103.10668222,185.44570000
-103.08620222,181.09680000
-103.06572222,176.74790000
-103.04524222,172.39900000
-103.02476222,168.05020000
-103.00428222,159.35240000
-102.98380222,150.65460000
-102.96332222,141.95680000
-102.94284222,137.62320000
-102.92236222,128.92540000
-102.90188222,120.22770000
-102.88140222,115.87880000
-102.86092222,111.52990000
-102.84044222,107.18100000
-102.81996222,102.83210000
-102.79948222,102.83210000
-102.77900222,107.18100000
-102.75852222,107.18100000
-102.73804222,111.52990000
-102.71756222,115.87880000
-102.69708222,124.57650000
-102.67660222,128.92540000
-102.65612222,137.62320000
-102.63564222,146.30570000
-102.61516222,155.00350000
-102.59468222,163.70130000
-102.57420222,168.05020000
-102.55372222,172.39900000
-102.53324222,181.09680000
-102.51276222,185.44570000
-102.49228222,185.44570000
-102.47180222,185.44570000
-102.45132222,185.44570000
-102.43084222,185.44570000
-102.41036222,181.09680000
-102.38988222,172.39900000
-102.36940222,172.39900000
-102.34892222,168.05020000
-102.32844222,159.35240000
-102.30796222,150.65460000
-102.28748222,141.95680000
-102.26700222,137.62320000
-102.24652222,128.92540000
-102.22604222,124.57650000
-102.20556222,115.87880000
-102.18508222,115.87880000
-102.16460222,107.18100000
-102.14412222,102.83210000
-102.12364222,107.18100000
-102.10316222,102.83210000
-102.08268222,102.83210000
-102.06220222,107.18100000
-102.04172222,111.52990000
-102.02124222,115.87880000
-102.00076222,120.22770000
-101.98028222,128.92540000
-101.95980222,137.62320000
-101.93932222,141.95680000
-101.91884222,150.65460000
-101.89836222,155.00350000
-101.87788222,163.70130000
-101.85740222,168.05020000
-101.83692222,172.39900000
-101.81644222,181.09680000
-101.79596222,185.44570000
-101.77548222,185.44570000
-101.75500222,185.44570000
-101.73452222,185.44570000
-101.71404222,185.44570000
-101.69356222,185.44570000
-101.67308222,181.09680000
-101.65260222,172.39900000
-101.63212223,172.39900000
-101.61164223,168.05020000
-101.59116223,159.35240000
-101.57068223,155.00350000
-101.55020223,146.30570000
-101.52972223,137.62320000
-101.50924223,137.62320000
-101.48876223,128.92540000
-101.46828223,120.22770000
-101.44780223,115.87880000
-101.42732223,115.87880000
-101.40684223,107.18100000
-101.38636223,102.83210000
-101.36588223,102.83210000
-101.34540223,102.83210000
-101.32492223,102.83210000
-101.30444223,102.83210000
-101.28396223,102.83210000
-101.26348223,111.52990000
-101.24300223,115.87880000
-101.22252223,120.22770000
-101.20204223,120.22770000
-101.18156223,128.92540000
-101.16108223,137.62320000
-101.14060223,141.95680000
-101.12012223,146.30570000
-101.09964223,155.00350000
-101.07916223,163.70130000
-101.05868223,163.70130000
-101.03820223,172.39900000
-101.01772223,176.74790000
-100.99724223,181.09680000
-100.97676223,185.44570000
-100.95628223,185.44570000
-100.93580223,189.79460000
-100.91532223,189.79460000
-100.89484223,189.79460000
-100.87436223,189.79460000
-100.85388223,189.79460000
-100.83340223,181.09680000
-100.81292223,181.09680000
-100.79244223,176.74790000
-100.77196223,172.39900000
-100.75148223,168.05020000
-100.73100223,163.70130000
-100.71052223,155.00350000
-100.69004223,150.65460000
-100.66956223,146.30570000
-100.64908223,137.62320000
-100.62860223,137.62320000
-100.60812223,128.92540000
-100.58764223,124.57650000
-100.56716223,120.22770000
-100.54668223,115.87880000
-100.52620223,111.52990000
-100.50572223,107.18100000
-100.48524223,102.83210000
-100.46476223,102.83210000
-100.44428223,102.83210000
-100.42380223,102.83210000
-100.40332223,98.48322000
-100.38284223,102.83210000
-100.36236223,102.83210000
-100.34188223,107.18100000
-100.32140223,111.52990000
-100.30092223,111.52990000
-100.28044223,115.87880000
-100.25996223,120.22770000
-100.23948223,128.92540000
-100.21900223,133.27430000
-100.19852223,137.62320000
-100.17804223,141.95680000
-100.15756223,150.65460000
-100.13708223,155.00350000
-100.11660223,159.35240000
-100.09612223,163.70130000
-100.07564223,168.05020000
-100.05516223,172.39900000
-100.03468223,176.74790000
-100.01420223,181.09680000
-99.99372224,185.44570000
-99.97324224,185.44570000
-99.95276224,189.79460000
-99.93228224,189.79460000
-99.91180224,189.79460000
-99.89132224,189.79460000
-99.87084224,189.79460000
-99.85036224,189.79460000
-99.82988224,189.79460000
-99.80940224,185.44570000
-99.78892224,185.44570000
-99.76844224,181.09680000
-99.74796224,176.74790000
-99.72748224,172.39900000
-99.70700224,172.39900000
-99.68652224,168.05020000
-99.66604224,163.70130000
-99.64556224,155.00350000
-99.62508224,150.65460000
-99.60460224,146.30570000
-99.58412224,141.95680000
-99.56364224,137.62320000
-99.54316224,133.27430000
-99.52268224,128.92540000
-99.50220224,124.57650000
-99.48172224,120.22770000
-99.46124224,120.22770000
-99.44076224,115.87880000
-99.42028224,111.52990000
-99.39980224,107.18100000
-99.37932224,107.18100000
-99.35884224,102.83210000
-99.33836224,102.83210000
-99.31788224,98.48322000
-99.29740224,98.48322000
-99.27692224,98.48322000
-99.25644224,98.48322000
-99.23596224,98.48322000
-99.21548224,98.48322000
-99.19500224,102.83210000
-99.17452224,102.83210000
-99.15404224,102.83210000
-99.13356224,102.83210000
-99.11308224,107.18100000
-99.09260224,111.52990000
-99.07212224,115.87880000
-99.05164224,120.22770000
-99.03116224,120.22770000
-99.01068224,124.57650000
-98.99020224,128.92540000
-98.96972224,133.27430000
-98.94924224,137.62320000
-98.92876224,137.62320000
-98.90828224,141.95680000
-98.88780224,146.30570000
-98.86732224,150.65460000
-98.84684224,155.00350000
-98.82636224,159.35240000
-98.80588224,159.35240000
-98.78540224,168.05020000
-98.76492224,168.05020000
-98.74444224,172.39900000
-98.72396224,172.39900000
-98.70348224,176.74790000
-98.68300224,181.09680000
-98.66252224,181.09680000
-98.64204224,185.44570000
-98.62156224,185.44570000
-98.60108224,189.79460000
-98.58060224,189.79460000
-98.56012224,189.79460000
-98.53964224,189.79460000
-98.51916224,194.14350000
-98.49868224,194.14350000
-98.47820224,189.79460000
-98.45772224,194.14350000
-98.43724224,189.79460000
-98.41676224,189.79460000
-98.39628224,189.79460000
-98.37580224,189.79460000
-98.35532224,189.79460000
-98.33484225,189.79460000
-98.31436225,189.79460000
-98.29388225,185.44570000
-98.27340225,185.44570000
-98.25292225,185.44570000
-98.23244225,181.09680000
-98.21196225,176.74790000
-98.19148225,172.39900000
-98.17100225,172.39900000
-98.15052225,172.39900000
-98.13004225,168.05020000
-98.10956225,168.05020000
-98.08908225,163.70130000
-98.06860225,159.35240000
-98.04812225,155.00350000
-98.02764225,155.00350000
-98.00716225,150.65460000
-97.98668225,150.65460000
-97.96620225,146.30570000
-97.94572225,146.30570000
-97.92524225,141.95680000
-97.90476225,137.62320000
-97.88428225,137.62320000
-97.86380225,137.62320000
-97.84332225,133.27430000
-97.82284225,128.92540000
-97.80236225,124.57650000
-97.78188225,124.57650000
-97.76140225,120.22770000
-97.74092225,120.22770000
-97.72044225,120.22770000
-97.69996225,115.87880000
-97.67948225,115.87880000
-97.65900225,115.87880000
-97.63852225,111.52990000
-97.61804225,111.52990000
-97.59756225,107.18100000
-97.57708225,107.18100000
-97.55660225,102.83210000
-97.53612225,102.83210000
-97.51564225,102.83210000
-97.49516225,102.83210000
-97.47468225,102.83210000
-97.45420225,98.48322000
-97.43372225,102.83210000
-97.41324225,98.48322000
-97.39276225,98.48322000
-97.37228225,98.48322000
-97.35180225,98.48322000
-97.33132225,98.48322000
-97.31084225,98.48322000
-97.29036225,98.48322000
-97.26988225,94.13434000
-97.24940225,98.48322000
-97.22892225,94.13434000
-97.20844225,94.13434000
-97.18796225,98.48322000
-97.16748225,94.13434000
-97.14700225,98.48322000
-97.12652225,98.48322000
-97.10604225,94.13434000
-97.08556225,98.48322000
-97.06508225,98.48322000
-97.04460225,98.48322000
-97.02412225,98.48322000
-97.00364225,98.48322000
-96.98316225,102.83210000
-96.96268225,102.83210000
-96.94220225,102.83210000
-96.92172225,102.83210000
-96.90124225,102.83210000
-96.88076225,102.83210000
-96.86028225,102.83210000
-96.83980225,102.83210000
-96.81932225,102.83210000
-96.79884225,102.83210000
-96.77836225,102.83210000
-96.75788225,107.18100000
-96.73740225,107.18100000
-96.71692225,107.18100000
-96.69644226,102.83210000
-96.67596226,107.18100000
-96.65548226,107.18100000
-96.63500226,107.18100000
-96.61452226,111.52990000
-96.59404226,111.52990000
-96.57356226,111.52990000
-96.55308226,111.52990000
-96.53260226,115.87880000
-96.51212226,111.52990000
-96.49164226,115.87880000
-96.47116226,115.87880000
-96.45068226,115.87880000
-96.43020226,115.87880000
-96.40972226,115.87880000
-96.38924226,120.22770000
-96.36876226,120.22770000
-96.34828226,120.22770000
-96.32780226,120.22770000
-96.30732226,120.22770000
-96.28684226,120.22770000
-96.26636226,120.22770000
-96.24588226,120.22770000
-96.22540226,120.22770000
-96.20492226,120.22770000
-96.18444226,124.57650000
-96.16396226,120.22770000
-96.14348226,124.57650000
-96.12300226,120.22770000
-96.10252226,124.57650000
